Ser,locations,sites,Season,Date,Temperature oC,Conductivity µS/cm,Salinity %0,D.O mg/l,pH,Turbidity NTU,TSS mg/l,Ammonia µg/l,Nitrate  µg/l,Nitrite  µg/l,Phosphate  µg/l,Silicate  µg/l,Alkalinity as CaCO3 mg/l,Chlorophyl-? µg/l,Hydrocarbon µg/l,TOC mg/l,
1,Askar,6,2,23-Apr-07,24.03," 65,970 ",44.58,5.37,8.11,2.23,7.50,9.73,29.84,4.00,0.73,78.07,130.20,1.59,1.49,,
2,Bapco,8,2,23-Apr-07,24.49," 66,420 ",45.09,5.24,8.11,4.10,7.90,18.20,4.05,0.26,1.87,46.92,129.30,2.01,1.26,,
3,Fasht Tighalib,4,2,23-Apr-07,24.71," 67,210 ",45.67,5.37,8.10,1.23,4.00,0.00,4.78,3.92,0.30,42.53,132.30,0.87,1.37,,
4,Ghumais,5,2,23-Apr-07,24.79," 67,270 ",45.70,5.49,8.08,1.72,9.60,0.00,6.15,2.61,0.08,40.80,129.00,0.96,1.05,,
5,Jabbari,3,2,23-Apr-07,24.75," 67,870 ",46.20,5.65,8.10,0.98,7.70,0.24,7.81,2.61,0.00,46.33,127.90,0.57,1.07,,
6,Mashtan,18,2,23-Apr-07,24.70," 69,070 ",47.10,5.86,8.09,0.92,4.00,0.74,8.06,1.59,0.00,39.88,131.60,0.55,6.70,,
7,Qassar Noon,1,2,23-Apr-07,24.06," 74,770 ",51.39,5.12,8.07,0.85,5.90,0.00,10.54,2.74,0.42,53.83,128.80,0.76,2.07,,
8,Suhain,10,2,23-Apr-07,24.66," 65,910 ",44.72,5.16,8.04,1.88,6.63,1.52,4.05,0.26,1.02,22.37,133.70,0.61,2.04,,
9,Al Gaha,9,2,24-Apr-07,25.44," 65,830 ",44.66,4.63,7.97,1.98,6.40,2.21,20.65,1.19,1.86,21.15,130.80,0.31,0.91,,
10,Al Gazara,12,2,24-Apr-07,24.38," 65,850 ",44.66,5.62,8.02,0.52,5.10,3.48,0.47,0.09,0.00,17.39,129.90,0.39,0.70,,
11,Dam,13,2,24-Apr-07,24.47," 65,980 ",44.75,5.47,8.04,0.34,13.50,1.27,12.03,0.31,0.00,18.23,129.10,0.37,0.94,,
12,Fa'ash,11,2,24-Apr-07,24.37," 65,660 ",44.48,5.69,8.05,0.72,6.30,5.36,12.44,0.18,0.32,29.70,131.10,0.31,0.91,,
13,Msoor,7,2,24-Apr-07,25.60," 66,060 ",44.84,5.49,8.08,0.82,15.00,1.61,9.57,0.26,0.03,29.33,127.60,0.37,0.67,,
14,Qita’at Jaradah,14,2,24-Apr-07,24.49," 65,900 ",44.63,4.74,7.99,0.31,17.04,0.92,13.64,0.43,0.34,26.10,130.20,0.42,0.83,,
